"fitq","modq"
1.67580000000001e-05,-0.0363495822174807
0.00018003172249999,-0.0356383162713673
0.00022538289375,-0.0347724081332938
0.000271122993749959,-0.0338364598245265
0.00035738009999998,-0.0330872432540288
0.000494056237500018,-0.0322543022174251
0.0009011833425,-0.0316835404863609
0.0012929807625,-0.0309525051645488
0.00179017544999999,-0.0302049878071636
0.00221174044,-0.0296720970022241
0.002547335,-0.0290978264698308
0.00290293857000001,-0.0286341694510042
0.0032412688,-0.027921557278306
0.0036461085325,-0.0272577154340907
0.00405177360000001,-0.0266597036967413
0.00462347340000001,-0.0262350848225307
0.00515143019999999,-0.0256030538645889
0.00563340067500002,-0.0251109204963179
0.00629995814,-0.0245330352367366
0.00710758562499997,-0.0239671742740963
0.00792617437500002,-0.023371763170955
0.00874274214625,-0.022799251244176
0.00976295250000001,-0.0220914506192158
0.0105886998,-0.0214801358224285
0.011563103825,-0.0209051596886371
0.01263297,-0.0201946057887762
0.014119992928125,-0.0196007254847123
0.01527798248375,-0.019024684195368
0.016408182175,-0.0183321626894963
0.0179922708,-0.0176443439525284
0.0195830915,-0.0171152187110587
0.0214732602,-0.0165001692815882
0.0236905893,-0.0157867957626016
0.025184658121,-0.0150328880348389
0.0264218878,-0.0143470750512191
0.02881006695,-0.013920349766189
0.03098501924,-0.0133819375383575
0.03375849295,-0.0126696852139688
0.036898708812,-0.0121524267269969
0.03967454246875,-0.0114632801824314
0.04248686176,-0.0107825595774688
0.0449186290875,-0.0100193681221053
0.04880061904375,-0.00911611766470758
0.0517249020225,-0.00809402462649976
0.05533125969,-0.00684469805992472
0.0589066503375001,-0.00587249342494547
0.06196146985,-0.00443538019359569
0.0657701342130001,-0.00282681175041721
0.06881598836,-0.00154866978596106
0.0721559858118751,3.78423174934172e-05
0.0757328197500001,0.00155755091975502
0.07997460891875,0.00404313033547074
0.083658252265,0.0061799877993697
0.0883585754415,0.00809372625160623
0.09277410884,0.010521296014041
0.09653436515625,0.0119981456913073
0.1006857117,0.0143377605652092
0.10519216659875,0.0168239698390837
0.11023739524,0.0193190881710618
0.115414303032,0.0228933630775892
0.1199935324,0.0253507295168579
0.12493972693125,0.0289419299546831
0.129503300535,0.0320314649536495
0.13359094616,0.0356181872558443
0.1389357984,0.0388364797018566
0.146119446466875,0.042071520777707
0.150576667696,0.045777247646402
0.155290098215,0.0500007509285831
0.1616604192,0.0530312932335476
0.16706727319625,0.0559854207604879
0.17457069,0.0589299913627692
0.18004050918,0.0623499482682356
0.18767282457,0.065708686722814
0.195163370180625,0.0691116437492337
0.20108060616,0.0727413638427939
0.20901922584375,0.0779464049337676
0.21521914568,0.0830200352824044
0.224180467140001,0.089128110214567
0.23115041782,0.0940139036844163
0.2380546869225,0.0991050415270952
0.2430260427,0.107567226603836
0.24935614571,0.114125201802303
0.25650975931,0.120075053419421
0.26454089865,0.128077150400213
0.27246979501,0.135862783369526
0.280668644484375,0.142532485555375
0.28909134576,0.151421800428979
0.296623138175,0.158301974276877
0.303836691375,0.165415964548448
0.31141365399375,0.171377377513962
0.3186664789,0.178700530024549
0.32629674727125,0.188108864779681
0.33504820272,0.196781313351686
0.344859644233125,0.205902127523607
0.3532956045325,0.216347630395696
0.36507907655625,0.231395774184577
0.378597048165,0.243597101506177
0.392297825504375,0.255624051043015
0.4091496171,0.268884321721583
0.438158059395,0.289113144273219
0.55212075975,0.349371190581886
